cosθ	TA_alpha	LA_alpha
0.000000	0.000000	0.000000
0.003344	0.023213	0.022768
0.006689	0.045888	0.045018
0.010033	0.068037	0.066762
0.013378	0.089672	0.088012
0.016722	0.110806	0.108779
0.020067	0.131450	0.129075
0.023411	0.151616	0.148910
0.026756	0.171314	0.168296
0.030100	0.190557	0.187242
0.033445	0.209354	0.205759
0.036789	0.227717	0.223857
0.040134	0.245654	0.241546
0.043478	0.263177	0.258834
0.046823	0.280295	0.275732
0.050167	0.297017	0.292248
0.053512	0.313353	0.308391
0.056856	0.329311	0.324169
0.060201	0.344901	0.339591
0.063545	0.360131	0.354666
0.066890	0.375009	0.369400
0.070234	0.389544	0.383803
0.073579	0.403744	0.397881
0.076923	0.417616	0.411642
0.080268	0.431168	0.425093
0.083612	0.444408	0.438241
0.086957	0.457342	0.451094
0.090301	0.469979	0.463657
0.093645	0.482324	0.475939
0.096990	0.494385	0.487944
0.100334	0.506168	0.499679
0.103679	0.517680	0.511150
0.107023	0.528926	0.522364
0.110368	0.539914	0.533327
0.113712	0.550649	0.544043
0.117057	0.561136	0.554518
0.120401	0.571383	0.564759
0.123746	0.581393	0.574770
0.127090	0.591174	0.584556
0.130435	0.600729	0.594123
0.133779	0.610065	0.603475
0.137124	0.619185	0.612618
0.140468	0.628097	0.621556
0.143813	0.636803	0.630293
0.147157	0.645309	0.638835
0.150502	0.653620	0.647185
0.153846	0.661740	0.655349
0.157191	0.669673	0.663329
0.160535	0.677424	0.671131
0.163880	0.684997	0.678758
0.167224	0.692396	0.686214
0.170569	0.699625	0.693503
0.173913	0.706688	0.700629
0.177258	0.713589	0.707596
0.180602	0.720331	0.714406
0.183946	0.726919	0.721064
0.187291	0.733355	0.727573
0.190635	0.739643	0.733937
0.193980	0.745787	0.740157
0.197324	0.751790	0.746239
0.200669	0.757656	0.752184
0.204013	0.763386	0.757996
0.207358	0.768985	0.763678
0.210702	0.774456	0.769233
0.214047	0.779801	0.774663
0.217391	0.785023	0.779972
0.220736	0.790125	0.785161
0.224080	0.795111	0.790235
0.227425	0.799982	0.795195
0.230769	0.804741	0.800043
0.234114	0.809391	0.804783
0.237458	0.813934	0.809416
0.240803	0.818372	0.813946
0.244147	0.822709	0.818374
0.247492	0.826947	0.822703
0.250836	0.831087	0.826934
0.254181	0.835132	0.831071
0.257525	0.839084	0.835114
0.260870	0.842945	0.839067
0.264214	0.846718	0.842931
0.267559	0.850404	0.846708
0.270903	0.854005	0.850401
0.274247	0.857524	0.854010
0.277592	0.860962	0.857538
0.280936	0.864320	0.860986
0.284281	0.867602	0.864357
0.287625	0.870808	0.867652
0.290970	0.873940	0.870873
0.294314	0.877001	0.874021
0.297659	0.879991	0.877098
0.301003	0.882912	0.880105
0.304348	0.885766	0.883045
0.307692	0.888554	0.885918
0.311037	0.891278	0.888727
0.314381	0.893940	0.891471
0.317726	0.896540	0.894154
0.321070	0.899080	0.896776
0.324415	0.901562	0.899339
0.327759	0.903986	0.901843
0.331104	0.906355	0.904290
0.334448	0.908669	0.906682
0.337793	0.910929	0.909020
0.341137	0.913137	0.911305
0.344482	0.915295	0.913537
0.347826	0.917402	0.915719
0.351171	0.919461	0.917850
0.354515	0.921472	0.919934
0.357860	0.923437	0.921969
0.361204	0.925356	0.923958
0.364548	0.927231	0.925902
0.367893	0.929062	0.927801
0.371237	0.930851	0.929657
0.374582	0.932598	0.931470
0.377926	0.934305	0.933241
0.381271	0.935972	0.934972
0.384615	0.937600	0.936663
0.387960	0.939191	0.938314
0.391304	0.940745	0.939928
0.394649	0.942262	0.941504
0.397993	0.943744	0.943044
0.401338	0.945191	0.944549
