#k-distance frequency[THz]
0.00000000 -0.00000006
0.00263085 0.09174612
0.00526175 0.18345818
0.00789260 0.27510239
0.01052350 0.36664553
0.01315434 0.45805518
0.01578524 0.54930000
0.01841609 0.64034996
0.02104699 0.73117658
0.02367784 0.82175307
0.02630874 0.91205454
0.02893959 1.00205813
0.03157049 1.09174308
0.03420133 1.18109086
0.03683223 1.27008514
0.03946308 1.35871184
0.04209398 1.44695904
0.04472483 1.53481695
0.04735573 1.62227776
0.04998658 1.70933548
0.05261748 1.79598579
0.05524833 1.88222580
0.05787922 1.96805380
0.06051007 2.05346903
0.06314097 2.13847129
0.06577182 2.22306076
0.06840272 2.30723756
0.07103357 2.39100148
0.07366447 2.47435165
0.07629532 2.55728618
0.07892621 2.63980186
0.08155706 2.72189382
0.08418796 2.80355529
0.08681881 2.88477728
0.08944971 2.96554837
0.09208056 3.04585447
0.09471146 3.12567868
0.09734231 3.20500114
0.09997321 3.28379891
0.10260405 3.36204594
0.10523495 3.43971305
0.10786580 3.51676795
0.11049670 3.59317532
0.11312755 3.66889692
0.11575845 3.74389175
0.11838930 3.81811625
0.12102020 3.89152450
0.12365105 3.96406852
0.12628189 4.03569855
0.12891279 4.10636334
0.13154364 4.17601053
0.13417454 4.24458697
0.13680539 4.31203913
0.13943629 4.37831343
0.14206714 4.44335666
0.14469804 4.50711635
0.14732888 4.56954114
0.14995978 4.63058115
0.15259063 4.69018833
0.15522153 4.74831680
0.15785238 4.80492316
0.16048328 4.85996677
0.16311413 4.91341004
0.16574503 4.96521862
0.16837588 5.01536160
0.17100677 5.06381170
0.17363762 5.11054537
0.17626852 5.15554285
0.17889937 5.19878825
0.18153027 5.24026952
0.18416112 5.27997844
0.18679202 5.31791051
0.18942287 5.35406482
0.19205376 5.38844394
0.19468461 5.42105369
0.19731551 5.45190289
0.19994636 5.48100314
0.20257726 5.50836852
0.20520811 5.53401524
0.20783901 5.55796133
0.21046986 5.58022630
0.21310076 5.60083073
0.21573160 5.61979592
0.21836250 5.63714350
0.22099335 5.65289508
0.22362425 5.66707181
0.22625510 5.67969412
0.22888600 5.69078127
0.23151685 5.70035110
0.23414775 5.70841973
0.23677859 5.71500124
0.23940949 5.72010751
0.24204034 5.72374798
0.24467124 5.72592948
0.24730209 5.72665618
