#        distance           band1           band2           band3
0.00000000 0.00000008 0.00000011 0.00000013
0.00264130 0.06064337 0.06064337 0.15328247
0.00528260 0.12116768 0.12116768 0.30601493
0.00792390 0.18145498 0.18145498 0.45765215
0.01056530 0.24138952 0.24138952 0.60765844
0.01320660 0.30085888 0.30085888 0.75551237
0.01584790 0.35975500 0.35975500 0.90071154
0.01848920 0.41797532 0.41797532 1.04277719
0.02113050 0.47542379 0.47542379 1.18125890
0.02377180 0.53201190 0.53201190 1.31573909
0.02641310 0.58765970 0.58765970 1.44583759
0.02905440 0.64229674 0.64229674 1.57121594
0.03169580 0.69586302 0.69586302 1.69158177
0.03433710 0.74830984 0.74830984 1.80669290
0.03697840 0.79960060 0.79960060 1.91636132
0.03961970 0.84971157 0.84971157 2.02045695
0.04226100 0.89863250 0.89863250 2.11891117


