cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.000000	0.031664
0.006689	0.000000	0.062321
0.010033	0.000000	0.091995
0.013378	0.000000	0.120716
0.016722	0.000000	0.148507
0.020067	0.000000	0.175396
0.023411	0.000000	0.201408
0.026756	0.000000	0.226567
0.030100	0.000000	0.250898
0.033445	0.000000	0.274426
0.036789	0.000000	0.297174
0.040134	0.000000	0.319165
0.043478	0.000000	0.340423
0.046823	0.000000	0.360969
0.050167	0.000000	0.380825
0.053512	0.000000	0.400012
0.056856	0.000000	0.418553
0.060201	0.000000	0.436466
0.063545	0.000000	0.453772
0.066890	0.000000	0.470491
0.070234	0.000000	0.486641
0.073579	0.000000	0.502241
0.076923	0.000000	0.517309
0.080268	0.000000	0.531862
0.083612	0.000000	0.545918
0.086957	0.000000	0.559492
0.090301	0.000000	0.572602
0.093645	0.000000	0.585263
0.096990	0.000000	0.597490
0.100334	0.000000	0.609298
0.103679	0.000000	0.620702
0.107023	0.000000	0.631715
0.110368	0.000000	0.642350
0.113712	0.000000	0.652621
0.117057	0.000000	0.662541
0.120401	0.000000	0.672122
0.123746	0.000000	0.681376
0.127090	0.000000	0.690313
0.130435	0.000000	0.698946
0.133779	0.000000	0.707286
0.137124	0.000000	0.715342
0.140468	0.000000	0.723124
0.143813	0.000000	0.730643
0.147157	0.000000	0.737908
0.150502	0.000000	0.744928
0.153846	0.000000	0.751711
0.157191	0.000000	0.758266
0.160535	0.000000	0.764602
0.163880	0.000000	0.770726
0.167224	0.000000	0.776646
0.170569	0.000000	0.782369
0.173913	0.000000	0.787902
0.177258	0.000000	0.793252
0.180602	0.000000	0.798425
0.183946	0.000000	0.803429
0.187291	0.000000	0.808269
0.190635	0.000000	0.812950
0.193980	0.000000	0.817480
0.197324	0.000000	0.821862
0.200669	0.000000	0.826103
0.204013	0.000000	0.830207
0.207358	0.000000	0.834180
0.210702	0.000000	0.838026
0.214047	0.000000	0.841749
0.217391	0.000000	0.845355
0.220736	0.000000	0.848846
0.224080	0.000000	0.852228
0.227425	0.000000	0.855503
0.230769	0.000000	0.858677
0.234114	0.000000	0.861752
0.237458	0.000000	0.864732
0.240803	0.000000	0.867621
0.244147	0.000000	0.870420
0.247492	0.000000	0.873135
0.250836	0.000000	0.875767
0.254181	0.000000	0.878319
0.257525	0.000000	0.880795
0.260870	0.000000	0.883197
0.264214	0.000000	0.885527
0.267559	0.000000	0.887788
0.270903	0.000000	0.889983
0.274247	0.000000	0.892113
0.277592	0.000000	0.894181
0.280936	0.000000	0.896188
0.284281	0.000000	0.898138
0.287625	0.000000	0.900032
0.290970	0.000000	0.901871
0.294314	0.000000	0.903658
0.297659	0.000000	0.905395
0.301003	0.000000	0.907082
0.304348	0.000000	0.908723
0.307692	0.000000	0.910317
0.311037	0.000000	0.911868
0.314381	0.000000	0.913375
0.317726	0.000000	0.914841
0.321070	0.000000	0.916268
0.324415	0.000000	0.917655
0.327759	0.000000	0.919005
0.331104	0.000000	0.920319
0.334448	0.000000	0.921598
0.337793	0.000000	0.922843
0.341137	0.000000	0.924055
0.344482	0.000000	0.925236
0.347826	0.000000	0.926385
0.351171	0.000000	0.927505
0.354515	0.000000	0.928595
0.357860	0.000000	0.929658
0.361204	0.000000	0.930694
0.364548	0.000000	0.931703
0.367893	0.000000	0.932687
0.371237	0.000000	0.933646
0.374582	0.000000	0.934581
0.377926	0.000000	0.935493
0.381271	0.000000	0.936382
0.384615	0.000000	0.937250
0.387960	0.000000	0.938097
0.391304	0.000000	0.938923
0.394649	0.000000	0.939729
0.397993	0.000000	0.940515
0.401338	0.000000	0.941283
0.404682	0.000000	0.942033
0.408027	0.000000	0.942765
0.411371	0.000000	0.943480
0.414716	0.000000	0.944178
0.418060	0.000000	0.944860
0.421405	0.000000	0.945526
0.424749	0.000000	0.946177
0.428094	0.000000	0.946813
0.431438	0.000000	0.947435
0.434783	0.000000	0.948043
0.438127	0.000000	0.948637
0.441472	0.000000	0.949218
0.444816	0.000000	0.949786
0.448161	0.000000	0.950342
0.451505	0.000000	0.950885
0.454849	0.000000	0.951416
0.458194	0.000000	0.951936
0.461538	0.000000	0.952445
0.464883	0.000000	0.952943
0.468227	0.000000	0.953430
0.471572	0.000000	0.953907
0.474916	0.000000	0.954374
0.478261	0.000000	0.954831
0.481605	0.000000	0.955279
0.484950	0.000000	0.955717
0.488294	0.000000	0.956146
0.491639	0.000000	0.956567
0.494983	0.000000	0.956979
0.498328	0.000000	0.957382
0.501672	0.000000	0.957778
0.505017	0.000000	0.958165
0.508361	0.000000	0.958545
0.511706	0.000000	0.958917
0.515050	0.000000	0.959282
0.518395	0.000000	0.959640
0.521739	0.000000	0.959991
0.525084	0.000000	0.960335
0.528428	0.000000	0.960672
0.531773	0.000000	0.961003
0.535117	0.000000	0.961328
0.538462	0.000000	0.961646
0.541806	0.000000	0.961958
0.545151	0.000000	0.962265
0.548495	0.000000	0.962566
0.551839	0.000000	0.962861
0.555184	0.000000	0.963150
0.558528	0.000000	0.963435
0.561873	0.000000	0.963714
0.565217	0.000000	0.963988
0.568562	0.000000	0.964257
0.571906	0.000000	0.964522
0.575251	0.000000	0.964781
0.578595	0.000000	0.965036
0.581940	0.000000	0.965287
0.585284	0.000000	0.965533
0.588629	0.000000	0.965774
0.591973	0.000000	0.966012
0.595318	0.000000	0.966245
0.598662	0.000000	0.966474
0.602007	0.362063	0.966700
0.605351	0.650130	0.966921
0.608696	0.761810	0.967139
0.612040	0.826836	0.967353
0.615385	0.869920	0.967563
0.618729	0.900456	0.967770
0.622074	0.923012	0.967974
