cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.000000	0.058585
0.006689	0.000000	0.113758
0.010033	0.000000	0.165738
0.013378	0.000000	0.214725
0.016722	0.000000	0.260906
0.020067	0.000000	0.304455
0.023411	0.000000	0.345532
0.026756	0.000000	0.384288
0.030100	0.000000	0.420862
0.033445	0.000000	0.455384
0.036789	0.000000	0.487975
0.040134	0.000000	0.518748
0.043478	0.000000	0.547809
0.046823	0.000000	0.575255
0.050167	0.000000	0.601180
0.053512	0.000000	0.625669
0.056856	0.000000	0.648803
0.060201	0.000000	0.670659
0.063545	0.000000	0.691305
0.066890	0.000000	0.710810
0.070234	0.000000	0.729236
0.073579	0.000000	0.746641
0.076923	0.000000	0.763080
0.080268	0.000000	0.778605
0.083612	0.000000	0.793265
0.086957	0.000000	0.807105
0.090301	0.000000	0.820170
0.093645	0.000000	0.832498
0.096990	0.000000	0.844130
0.100334	0.000000	0.855100
0.103679	0.000000	0.865443
0.107023	0.000000	0.875192
0.110368	0.000000	0.884376
0.113712	0.000000	0.893024
0.117057	0.000000	0.901164
0.120401	0.000000	0.908821
0.123746	0.000000	0.916019
0.127090	0.000000	0.922781
0.130435	0.000000	0.929130
0.133779	0.000000	0.935085
0.137124	0.000000	0.940666
0.140468	0.000000	0.945891
0.143813	0.000000	0.950779
0.147157	0.000000	0.955346
0.150502	0.000000	0.959607
0.153846	0.280690	0.963577
0.157191	0.398561	0.967271
0.160535	0.469091	0.970702
0.163880	0.519180	0.973882
0.167224	0.557536	0.976825
0.170569	0.588232	0.979541
0.173913	0.613535	0.982042
0.177258	0.634844	0.984338
0.180602	0.653084	0.986438
0.183946	0.668903	0.988353
0.187291	0.682769	0.990091
0.190635	0.695031	0.991661
0.193980	0.705958	0.993070
0.197324	0.715759	0.994328
0.200669	0.724600	0.995440
0.204013	0.732616	0.996415
0.207358	0.739916	0.997259
0.210702	0.746593	0.997977
0.214047	0.752721	0.998577
0.217391	0.758364	0.999064
0.220736	0.763577	0.999444
0.224080	0.768406	0.999721
0.227425	0.772890	0.999901
0.230769	0.777065	0.999989
0.234114	0.780961	0.999989
0.237458	0.784602	0.999906
0.240803	0.788014	0.999744
0.244147	0.791216	0.999506
0.247492	0.794226	0.999197
0.250836	0.797060	0.998820
0.254181	0.799733	0.998379
0.257525	0.802257	0.997876
0.260870	0.804644	0.997316
0.264214	0.806904	0.996701
0.267559	0.809046	0.996034
0.270903	0.811080	0.995317
0.274247	0.813012	0.994554
0.277592	0.814850	0.993747
0.280936	0.816600	0.992898
0.284281	0.818268	0.992010
0.287625	0.819859	0.991084
0.290970	0.821379	0.990123
0.294314	0.822831	0.989129
0.297659	0.824219	0.988104
0.301003	0.825548	0.987050
0.304348	0.826821	0.985968
0.307692	0.828042	0.984859
0.311037	0.829212	0.983727
0.314381	0.830336	0.982572
0.317726	0.831415	0.981395
0.321070	0.832453	0.980198
0.324415	0.833450	0.978982
0.327759	0.834410	0.977750
0.331104	0.835335	0.976501
0.334448	0.836225	0.975237
0.337793	0.837084	0.973959
0.341137	0.837911	0.972668
0.344482	0.838710	0.971365
0.347826	0.839481	0.970052
0.351171	0.840226	0.968729
0.354515	0.840945	0.967396
0.357860	0.841640	0.966056
0.361204	0.842313	0.964708
0.364548	0.842964	0.963353
0.367893	0.843593	0.961993
0.371237	0.844203	0.960627
0.374582	0.844794	0.959257
0.377926	0.845366	0.957884
0.381271	0.845921	0.956507
0.384615	0.846459	0.955127
0.387960	0.846981	0.953745
0.391304	0.847488	0.952362
0.394649	0.847980	0.950978
0.397993	0.848457	0.949593
0.401338	0.848921	0.948208
0.404682	0.849372	0.946823
0.408027	0.849810	0.945439
0.411371	0.850236	0.944057
0.414716	0.850650	0.942675
0.418060	0.851053	0.941296
0.421405	0.851445	0.939919
0.424749	0.851826	0.938545
0.428094	0.852198	0.937173
0.431438	0.852560	0.935805
0.434783	0.852912	0.934440
0.438127	0.853256	0.933079
0.441472	0.853590	0.931722
0.444816	0.853917	0.930369
0.448161	0.854235	0.929021
0.451505	0.854545	0.927677
0.454849	0.854848	0.926339
0.458194	0.855143	0.925005
0.461538	0.855431	0.923677
0.464883	0.855713	0.922354
0.468227	0.855987	0.921036
0.471572	0.856255	0.919724
0.474916	0.856517	0.918419
0.478261	0.856773	0.917119
0.481605	0.857024	0.915825
0.484950	0.857268	0.914538
0.488294	0.857507	0.913257
0.491639	0.857741	0.911983
0.494983	0.857969	0.910715
0.498328	0.858193	0.909454
0.501672	0.858411	0.908199
0.505017	0.858625	0.906952
0.508361	0.858834	0.905711
0.511706	0.859039	0.904477
0.515050	0.859239	0.903251
0.518395	0.859436	0.902031
0.521739	0.859628	0.900819
0.525084	0.859816	0.899614
0.528428	0.860001	0.898416
0.531773	0.860181	0.897225
0.535117	0.860358	0.896042
0.538462	0.860532	0.894866
0.541806	0.860701	0.893697
0.545151	0.860868	0.892536
0.548495	0.861031	0.891382
