cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.038420	0.000000
0.006689	0.075369	0.000000
0.010033	0.110908	0.000000
0.013378	0.145093	0.000000
0.016722	0.177982	0.000000
0.020067	0.209626	0.000000
0.023411	0.240075	0.000000
0.026756	0.269378	0.000000
0.030100	0.297581	0.000000
0.033445	0.324727	0.000000
0.036789	0.350858	0.000000
0.040134	0.376015	0.000000
0.043478	0.400235	0.000000
0.046823	0.423554	0.000000
0.050167	0.446009	0.000000
0.053512	0.467631	0.000000
0.056856	0.488454	0.000000
0.060201	0.508509	0.000000
0.063545	0.527823	0.000000
0.066890	0.546426	0.000000
0.070234	0.564344	0.000000
0.073579	0.581603	0.000000
0.076923	0.598228	0.000000
0.080268	0.614243	0.000000
0.083612	0.629670	0.000000
0.086957	0.644531	0.000000
0.090301	0.658847	0.000000
0.093645	0.672638	0.000000
0.096990	0.685923	0.000000
0.100334	0.698721	0.000000
0.103679	0.711050	0.000000
0.107023	0.722927	0.000000
0.110368	0.734367	0.000000
0.113712	0.745387	0.000000
0.117057	0.756002	0.000000
0.120401	0.766227	0.000000
0.123746	0.776075	0.000000
0.127090	0.785560	0.000000
0.130435	0.794694	0.000000
0.133779	0.803491	0.000000
0.137124	0.811961	0.000000
0.140468	0.820118	0.000000
0.143813	0.827971	0.000000
0.147157	0.835531	0.000000
0.150502	0.842809	0.000000
0.153846	0.849814	0.000000
0.157191	0.856556	0.000000
0.160535	0.863044	0.000000
0.163880	0.869287	0.000000
0.167224	0.875294	0.000000
0.170569	0.881072	0.000000
0.173913	0.886630	0.000000
0.177258	0.891974	0.000000
0.180602	0.897113	0.000000
0.183946	0.902054	0.000000
0.187291	0.906802	0.000000
0.190635	0.911366	0.000000
0.193980	0.915750	0.000000
0.197324	0.919962	0.000000
0.200669	0.924007	0.000000
0.204013	0.927891	0.000000
0.207358	0.931619	0.000000
0.210702	0.935196	0.000000
0.214047	0.938629	0.000000
0.217391	0.941920	0.000000
0.220736	0.945077	0.000000
0.224080	0.948102	0.000000
0.227425	0.951000	0.000000
0.230769	0.953776	0.000000
0.234114	0.956434	0.000000
0.237458	0.958978	0.000000
0.240803	0.961411	0.000000
0.244147	0.963738	0.000000
0.247492	0.965961	0.000000
0.250836	0.968085	0.000000
0.254181	0.970113	0.000000
0.257525	0.972048	0.000000
0.260870	0.973893	0.000000
0.264214	0.975651	0.000000
0.267559	0.977325	0.000000
0.270903	0.978918	0.000000
0.274247	0.980432	0.000000
0.277592	0.981871	0.000000
0.280936	0.983237	0.000000
0.284281	0.984532	0.000000
0.287625	0.985759	0.000000
0.290970	0.986920	0.000000
0.294314	0.988017	0.000000
0.297659	0.989053	0.000000
0.301003	0.990029	0.000000
0.304348	0.990947	0.000000
0.307692	0.991810	0.000000
0.311037	0.992619	0.083904
0.314381	0.993377	0.373824
0.317726	0.994084	0.479974
0.321070	0.994743	0.548686
0.324415	0.995356	0.599089
0.327759	0.995923	0.638442
0.331104	0.996447	0.670373
0.334448	0.996929	0.696974
0.337793	0.997370	0.719571
0.341137	0.997772	0.739057
0.344482	0.998137	0.756063
0.347826	0.998464	0.771052
0.351171	0.998757	0.784373
0.354515	0.999016	0.796295
0.357860	0.999241	0.807031
0.361204	0.999436	0.816750
0.364548	0.999599	0.825590
0.367893	0.999733	0.833666
0.371237	0.999839	0.841070
0.374582	0.999917	0.847883
0.377926	0.999969	0.854171
0.381271	0.999996	0.859991
0.384615	0.999998	0.865392
0.387960	0.999976	0.870417
0.391304	0.999932	0.875103
0.394649	0.999865	0.879480
0.397993	0.999778	0.883579
0.401338	0.999670	0.887423
0.404682	0.999543	0.891035
0.408027	0.999396	0.894433
0.411371	0.999232	0.897637
0.414716	0.999050	0.900660
0.418060	0.998851	0.903517
0.421405	0.998636	0.906221
0.424749	0.998405	0.908784
0.428094	0.998160	0.911214
