cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.016037	0.016443
0.006689	0.031817	0.032615
0.010033	0.047344	0.048520
0.013378	0.062621	0.064163
0.016722	0.077652	0.079547
0.020067	0.092441	0.094677
0.023411	0.106992	0.109556
0.026756	0.121309	0.124188
0.030100	0.135395	0.138577
0.033445	0.149253	0.152727
0.036789	0.162888	0.166641
0.040134	0.176302	0.180323
0.043478	0.189500	0.193777
0.046823	0.202484	0.207006
0.050167	0.215258	0.220014
0.053512	0.227825	0.232805
0.056856	0.240189	0.245381
0.060201	0.252352	0.257746
0.063545	0.264318	0.269903
0.066890	0.276090	0.281856
0.070234	0.287671	0.293609
0.073579	0.299063	0.305163
0.076923	0.310271	0.316523
0.080268	0.321296	0.327691
0.083612	0.332142	0.338671
0.086957	0.342811	0.349465
0.090301	0.353307	0.360077
0.093645	0.363632	0.370510
0.096990	0.373789	0.380766
0.100334	0.383780	0.390848
0.103679	0.393609	0.400760
0.107023	0.403277	0.410503
0.110368	0.412787	0.420081
0.113712	0.422143	0.429497
0.117057	0.431345	0.438753
0.120401	0.440397	0.447851
0.123746	0.449302	0.456795
0.127090	0.458061	0.465587
0.130435	0.466677	0.474229
0.133779	0.475152	0.482724
0.137124	0.483489	0.491074
0.140468	0.491689	0.499282
0.143813	0.499755	0.507350
0.147157	0.507690	0.515281
0.150502	0.515494	0.523076
0.153846	0.523171	0.530738
0.157191	0.530722	0.538270
0.160535	0.538150	0.545673
0.163880	0.545456	0.552950
0.167224	0.552642	0.560102
0.170569	0.559711	0.567133
0.173913	0.566664	0.574043
0.177258	0.573504	0.580835
0.180602	0.580231	0.587512
0.183946	0.586848	0.594074
0.187291	0.593357	0.600524
0.190635	0.599759	0.606864
0.193980	0.606057	0.613096
0.197324	0.612251	0.619221
0.200669	0.618344	0.625241
0.204013	0.624337	0.631159
0.207358	0.630232	0.636976
0.210702	0.636031	0.642693
0.214047	0.641734	0.648313
0.217391	0.647345	0.653836
0.220736	0.652863	0.659266
0.224080	0.658292	0.664603
0.227425	0.663631	0.669849
0.230769	0.668883	0.675005
0.234114	0.674049	0.680073
0.237458	0.679131	0.685055
0.240803	0.684130	0.689952
0.244147	0.689046	0.694766
0.247492	0.693883	0.699497
0.250836	0.698641	0.704148
0.254181	0.703320	0.708720
0.257525	0.707924	0.713214
0.260870	0.712452	0.717632
0.264214	0.716907	0.721975
0.267559	0.721288	0.726243
0.270903	0.725598	0.730440
0.274247	0.729838	0.734565
0.277592	0.734009	0.738620
0.280936	0.738112	0.742607
0.284281	0.742148	0.746525
0.287625	0.746118	0.750378
0.290970	0.750024	0.754165
0.294314	0.753866	0.757889
0.297659	0.757646	0.761549
0.301003	0.761364	0.765147
0.304348	0.765021	0.768685
0.307692	0.768620	0.772163
0.311037	0.772160	0.775583
0.314381	0.775642	0.778945
0.317726	0.779068	0.782250
0.321070	0.782438	0.785500
0.324415	0.785754	0.788695
0.327759	0.789016	0.791837
0.331104	0.792225	0.794926
0.334448	0.795382	0.797963
0.337793	0.798489	0.800949
0.341137	0.801545	0.803885
0.344482	0.804551	0.806772
0.347826	0.807509	0.809611
0.351171	0.810420	0.812403
0.354515	0.813283	0.815148
0.357860	0.816100	0.817847
0.361204	0.818872	0.820502
0.364548	0.821599	0.823112
0.367893	0.824282	0.825679
0.371237	0.826923	0.828204
0.374582	0.829520	0.830686
0.377926	0.832076	0.833128
0.381271	0.834591	0.835529
0.384615	0.837066	0.837890
0.387960	0.839501	0.840213
0.391304	0.841897	0.842497
0.394649	0.844255	0.844744
0.397993	0.846575	0.846954
0.401338	0.848857	0.849127
0.404682	0.851104	0.851265
0.408027	0.853314	0.853368
0.411371	0.855490	0.855437
0.414716	0.857630	0.857471
0.418060	0.859737	0.859473
0.421405	0.861810	0.861442
0.424749	0.863850	0.863378
0.428094	0.865858	0.865284
0.431438	0.867833	0.867158
0.434783	0.869778	0.869002
0.438127	0.871691	0.870816
0.441472	0.873575	0.872601
0.444816	0.875428	0.874357
0.448161	0.877253	0.876085
0.451505	0.879048	0.877785
0.454849	0.880815	0.879457
0.458194	0.882554	0.881103
0.461538	0.884266	0.882722
0.464883	0.885951	0.884315
0.468227	0.887610	0.885883
0.471572	0.889242	0.887426
0.474916	0.890849	0.888944
0.478261	0.892430	0.890439
0.481605	0.893987	0.891909
0.484950	0.895519	0.893356
0.488294	0.897028	0.894780
0.491639	0.898513	0.896182
0.494983	0.899974	0.897561
0.498328	0.901413	0.898919
0.501672	0.902830	0.900255
0.505017	0.904224	0.901570
0.508361	0.905597	0.902865
0.511706	0.906948	0.904139
0.515050	0.908278	0.905394
0.518395	0.909588	0.906628
0.521739	0.910878	0.907844
0.525084	0.912147	0.909041
0.528428	0.913397	0.910219
0.531773	0.914628	0.911378
0.535117	0.915840	0.912520
0.538462	0.917032	0.913644
0.541806	0.918207	0.914751
0.545151	0.919364	0.915841
0.548495	0.920502	0.916913
0.551839	0.921624	0.917970
0.555184	0.922728	0.919010
0.558528	0.923815	0.920034
0.561873	0.924886	0.921043
0.565217	0.925940	0.922036
0.568562	0.926978	0.923014
0.571906	0.928000	0.923978
0.575251	0.929007	0.924926
0.578595	0.929998	0.925861
0.581940	0.930975	0.926781
0.585284	0.931936	0.927687
0.588629	0.932883	0.928580
0.591973	0.933816	0.929459
0.595318	0.934734	0.930325
0.598662	0.935639	0.931178
0.602007	0.936530	0.932018
0.605351	0.937407	0.932846
0.608696	0.938272	0.933661
0.612040	0.939123	0.934464
0.615385	0.939962	0.935256
0.618729	0.940788	0.936035
0.622074	0.941601	0.936803
0.625418	0.942402	0.937560
0.628763	0.943192	0.938306
0.632107	0.943969	0.939040
0.635452	0.944735	0.939764
0.638796	0.945490	0.940477
0.642140	0.946233	0.941180
0.645485	0.946966	0.941873
0.648829	0.947687	0.942555
0.652174	0.948398	0.943228
0.655518	0.949098	0.943890
0.658863	0.949788	0.944543
0.662207	0.950467	0.945187
0.665552	0.951137	0.945822
0.668896	0.951797	0.946447
0.672241	0.952447	0.947063
0.675585	0.953087	0.947671
0.678930	0.953718	0.948270
0.682274	0.954340	0.948860
0.685619	0.954952	0.949442
0.688963	0.955556	0.950015
0.692308	0.956151	0.950581
0.695652	0.956737	0.951138
0.698997	0.957315	0.951688
0.702341	0.957884	0.952229
0.705686	0.958445	0.952763
0.709030	0.958998	0.953290
0.712375	0.959542	0.953809
0.715719	0.960079	0.954321
0.719064	0.960608	0.954826
0.722408	0.961130	0.955324
0.725753	0.961644	0.955815
0.729097	0.962150	0.956299
0.732441	0.962649	0.956776
0.735786	0.963141	0.957247
0.739130	0.963626	0.957711
0.742475	0.964104	0.958169
0.745819	0.964575	0.958621
0.749164	0.965040	0.959066
0.752508	0.965498	0.959505
0.755853	0.965949	0.959939
0.759197	0.966394	0.960366
0.762542	0.966832	0.960788
0.765886	0.967264	0.961203
0.769231	0.967690	0.961614
0.772575	0.968110	0.962018
0.775920	0.968524	0.962418
0.779264	0.968933	0.962811
0.782609	0.969335	0.963200
0.785953	0.969732	0.963583
0.789298	0.970123	0.963962
0.792642	0.970509	0.964335
0.795987	0.970889	0.964703
0.799331	0.971264	0.965066
0.802676	0.971634	0.965425
0.806020	0.971998	0.965779
0.809365	0.972357	0.966128
0.812709	0.972712	0.966472
0.816054	0.973061	0.966812
0.819398	0.973406	0.967148
0.822742	0.973745	0.967479
0.826087	0.974080	0.967806
0.829431	0.974411	0.968128
0.832776	0.974737	0.968447
0.836120	0.975058	0.968761
0.839465	0.975375	0.969071
0.842809	0.975687	0.969377
0.846154	0.975995	0.969679
