cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.000000	0.028970
0.006689	0.000000	0.057097
0.010033	0.000000	0.084402
0.013378	0.000000	0.110905
0.016722	0.000000	0.136627
0.020067	0.000000	0.161587
0.023411	0.000000	0.185805
0.026756	0.000000	0.209301
0.030100	0.000000	0.232094
0.033445	0.000000	0.254202
0.036789	0.000000	0.275644
0.040134	0.000000	0.296438
0.043478	0.000000	0.316601
0.046823	0.000000	0.336152
0.050167	0.000000	0.355107
0.053512	0.000000	0.373482
0.056856	0.000000	0.391296
0.060201	0.000000	0.408562
0.063545	0.000000	0.425298
0.066890	0.000000	0.441518
0.070234	0.000000	0.457237
0.073579	0.000000	0.472471
0.076923	0.000000	0.487233
0.080268	0.000000	0.501537
0.083612	0.000000	0.515398
0.086957	0.000000	0.528828
0.090301	0.000000	0.541841
0.093645	0.000000	0.554449
0.096990	0.000000	0.566664
0.100334	0.000000	0.578499
0.103679	0.000000	0.589966
0.107023	0.000000	0.601074
0.110368	0.000000	0.611837
0.113712	0.000000	0.622264
0.117057	0.000000	0.632367
0.120401	0.000000	0.642154
0.123746	0.000000	0.651637
0.127090	0.000000	0.660825
0.130435	0.000000	0.669727
0.133779	0.000000	0.678352
0.137124	0.000000	0.686710
0.140468	0.000000	0.694808
0.143813	0.000000	0.702655
0.147157	0.000000	0.710259
0.150502	0.000000	0.717629
0.153846	0.000000	0.724770
0.157191	0.000000	0.731692
0.160535	0.000000	0.738400
0.163880	0.000000	0.744903
0.167224	0.000000	0.751206
0.170569	0.000000	0.757316
0.173913	0.000000	0.763240
0.177258	0.000000	0.768982
0.180602	0.000000	0.774551
0.183946	0.000000	0.779950
0.187291	0.000000	0.785186
0.190635	0.000000	0.790263
0.193980	0.000000	0.795188
0.197324	0.000000	0.799964
0.200669	0.000000	0.804598
0.204013	0.000000	0.809093
0.207358	0.000000	0.813454
0.210702	0.000000	0.817685
0.214047	0.000000	0.821791
0.217391	0.000000	0.825776
0.220736	0.000000	0.829643
0.224080	0.000000	0.833397
0.227425	0.000000	0.837041
0.230769	0.000000	0.840579
0.234114	0.000000	0.844014
0.237458	0.000000	0.847350
0.240803	0.000000	0.850589
0.244147	0.000000	0.853735
0.247492	0.000000	0.856791
0.250836	0.000000	0.859760
0.254181	0.000000	0.862644
0.257525	0.000000	0.865446
0.260870	0.000000	0.868170
0.264214	0.000000	0.870817
0.267559	0.000000	0.873390
0.270903	0.000000	0.875891
0.274247	0.000000	0.878322
0.277592	0.000000	0.880686
0.280936	0.000000	0.882985
0.284281	0.000000	0.885221
0.287625	0.000000	0.887396
0.290970	0.000000	0.889512
0.294314	0.000000	0.891571
0.297659	0.000000	0.893573
0.301003	0.000000	0.895523
0.304348	0.000000	0.897420
0.307692	0.000000	0.899266
0.311037	0.000000	0.901064
0.314381	0.000000	0.902814
0.317726	0.000000	0.904518
0.321070	0.000000	0.906178
0.324415	0.000000	0.907794
0.327759	0.000000	0.909369
0.331104	0.000000	0.910902
0.334448	0.000000	0.912397
0.337793	0.000000	0.913853
0.341137	0.000000	0.915273
0.344482	0.000000	0.916656
0.347826	0.000000	0.918005
0.351171	0.000000	0.919320
0.354515	0.000000	0.920602
0.357860	0.000000	0.921852
0.361204	0.000000	0.923071
0.364548	0.000000	0.924261
0.367893	0.000000	0.925421
0.371237	0.000000	0.926553
