cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.118433	0.058032
0.006689	0.222978	0.112718
0.010033	0.315371	0.164267
0.013378	0.397105	0.212877
0.016722	0.469469	0.258728
0.020067	0.533580	0.301991
0.023411	0.590409	0.342822
0.026756	0.640801	0.381367
0.030100	0.685492	0.417762
0.033445	0.725129	0.452135
0.036789	0.760277	0.484603
0.040134	0.791435	0.515277
0.043478	0.819041	0.544261
0.046823	0.843481	0.571651
0.050167	0.865098	0.597536
0.053512	0.884195	0.622003
0.056856	0.901039	0.645128
0.060201	0.915871	0.666988
0.063545	0.928901	0.687651
0.066890	0.940320	0.707183
0.070234	0.950295	0.725644
0.073579	0.958976	0.743094
0.076923	0.966499	0.759585
0.080268	0.972984	0.775168
0.083612	0.978539	0.789892
0.086957	0.983259	0.803802
0.090301	0.987233	0.816940
0.093645	0.990536	0.829346
0.096990	0.993241	0.841058
0.100334	0.995408	0.852112
0.103679	0.997095	0.862541
0.107023	0.998353	0.872377
0.110368	0.999227	0.881651
0.113712	0.999759	0.890389
0.117057	0.999986	0.898620
0.120401	0.999942	0.906369
0.123746	0.999655	0.913659
0.127090	0.999155	0.920513
0.130435	0.998465	0.926954
0.133779	0.997608	0.933000
0.137124	0.996603	0.938672
0.140468	0.995469	0.943988
0.143813	0.994222	0.948966
0.147157	0.992876	0.953620
0.150502	0.991446	0.957969
0.153846	0.989942	0.962025
0.157191	0.988376	0.965804
0.160535	0.986757	0.969318
0.163880	0.985093	0.972580
0.167224	0.983394	0.975603
0.170569	0.981666	0.978398
0.173913	0.979914	0.980976
0.177258	0.978146	0.983347
0.180602	0.976365	0.985521
0.183946	0.974578	0.987507
0.187291	0.972786	0.989315
0.190635	0.970995	0.990953
0.193980	0.969208	0.992430
0.197324	0.967427	0.993752
0.200669	0.965654	0.994927
0.204013	0.963893	0.995962
0.207358	0.962146	0.996865
0.210702	0.960413	0.997640
0.214047	0.958697	0.998295
0.217391	0.956998	0.998836
0.220736	0.955319	0.999267
0.224080	0.953659	0.999594
0.227425	0.952021	0.999822
0.230769	0.950404	0.999956
0.234114	0.948809	1.000000
0.237458	0.947237	0.999959
0.240803	0.945687	0.999837
0.244147	0.944161	0.999639
0.247492	0.942659	0.999367
0.250836	0.941181	0.999025
0.254181	0.939726	0.998618
0.257525	0.938295	0.998148
0.260870	0.936888	0.997618
0.264214	0.935504	0.997032
0.267559	0.934145	0.996392
0.270903	0.932809	0.995701
0.274247	0.931496	0.994962
0.277592	0.930206	0.994178
0.280936	0.928940	0.993350
0.284281	0.927696	0.992482
0.287625	0.926475	0.991574
0.290970	0.925275	0.990631
0.294314	0.924098	0.989652
0.297659	0.922942	0.988641
0.301003	0.921808	0.987600
0.304348	0.920694	0.986529
0.307692	0.919601	0.985431
0.311037	0.918528	0.984308
0.314381	0.917476	0.983160
0.317726	0.916443	0.981990
0.321070	0.915429	0.980799
0.324415	0.914434	0.979588
0.327759	0.913458	0.978358
0.331104	0.912500	0.977111
0.334448	0.911560	0.975848
0.337793	0.910638	0.974570
0.341137	0.909732	0.973279
0.344482	0.908844	0.971974
