cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.039942	0.000000
0.006689	0.078294	0.000000
0.010033	0.115123	0.000000
0.013378	0.150494	0.000000
0.016722	0.184470	0.000000
0.020067	0.217107	0.000000
0.023411	0.248463	0.000000
0.026756	0.278590	0.000000
0.030100	0.307540	0.000000
0.033445	0.335361	0.000000
0.036789	0.362099	0.000000
0.040134	0.387799	0.000000
0.043478	0.412502	0.000000
0.046823	0.436249	0.000000
0.050167	0.459078	0.000000
0.053512	0.481027	0.000000
0.056856	0.502130	0.000000
0.060201	0.522420	0.000000
0.063545	0.541931	0.000000
0.066890	0.560692	0.000000
0.070234	0.578734	0.000000
0.073579	0.596084	0.000000
0.076923	0.612769	0.000000
0.080268	0.628815	0.000000
0.083612	0.644247	0.000000
0.086957	0.659089	0.000000
0.090301	0.673363	0.000000
0.093645	0.687090	0.000000
0.096990	0.700293	0.000000
0.100334	0.712990	0.000000
0.103679	0.725201	0.000000
0.107023	0.736945	0.000000
0.110368	0.748238	0.000000
0.113712	0.759098	0.000000
0.117057	0.769542	0.000000
0.120401	0.779584	0.000000
0.123746	0.789239	0.000000
0.127090	0.798523	0.000000
0.130435	0.807449	0.000000
0.133779	0.816029	0.000000
0.137124	0.824277	0.000000
0.140468	0.832206	0.000000
0.143813	0.839826	0.000000
0.147157	0.847149	0.000000
0.150502	0.854186	0.000000
0.153846	0.860948	0.000000
0.157191	0.867444	0.000000
0.160535	0.873684	0.000000
0.163880	0.879678	0.000000
0.167224	0.885434	0.000000
0.170569	0.890961	0.000000
0.173913	0.896267	0.000000
0.177258	0.901360	0.000000
0.180602	0.906248	0.000000
0.183946	0.910939	0.000000
0.187291	0.915438	0.000000
0.190635	0.919754	0.000000
0.193980	0.923893	0.000000
0.197324	0.927861	0.000000
0.200669	0.931664	0.000000
0.204013	0.935308	0.000000
0.207358	0.938799	0.000000
0.210702	0.942142	0.000000
0.214047	0.945343	0.000000
0.217391	0.948407	0.000000
0.220736	0.951338	0.000000
0.224080	0.954141	0.000000
0.227425	0.956821	0.000000
0.230769	0.959382	0.000000
0.234114	0.961828	0.000000
0.237458	0.964164	0.000000
0.240803	0.966393	0.000000
0.244147	0.968520	0.000000
0.247492	0.970547	0.000000
0.250836	0.972478	0.000000
0.254181	0.974318	0.000000
0.257525	0.976068	0.000000
0.260870	0.977733	0.000000
0.264214	0.979314	0.000000
0.267559	0.980816	0.000000
0.270903	0.982241	0.000000
0.274247	0.983592	0.000000
0.277592	0.984871	0.000000
0.280936	0.986082	0.000000
0.284281	0.987225	0.000000
