cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.013471	0.012235
0.006689	0.026762	0.024319
0.010033	0.039873	0.036255
0.013378	0.052808	0.048043
0.016722	0.065569	0.059686
0.020067	0.078160	0.071184
0.023411	0.090581	0.082539
0.026756	0.102836	0.093753
0.030100	0.114927	0.104827
0.033445	0.126856	0.115762
0.036789	0.138625	0.126559
0.040134	0.150237	0.137221
0.043478	0.161695	0.147748
0.046823	0.172999	0.158141
0.050167	0.184153	0.168403
0.053512	0.195157	0.178535
0.056856	0.206016	0.188538
0.060201	0.216730	0.198413
0.063545	0.227301	0.208161
0.066890	0.237732	0.217785
0.070234	0.248024	0.227285
0.073579	0.258180	0.236663
0.076923	0.268201	0.245920
0.080268	0.278089	0.255058
0.083612	0.287846	0.264077
0.086957	0.297474	0.272979
0.090301	0.306974	0.281766
0.093645	0.316348	0.290439
0.096990	0.325599	0.298998
0.100334	0.334727	0.307446
0.103679	0.343735	0.315783
0.107023	0.352624	0.324011
0.110368	0.361395	0.332131
0.113712	0.370051	0.340144
0.117057	0.378593	0.348052
0.120401	0.387022	0.355856
0.123746	0.395340	0.363557
0.127090	0.403548	0.371156
0.130435	0.411649	0.378655
0.133779	0.419643	0.386054
0.137124	0.427531	0.393356
0.140468	0.435316	0.400560
0.143813	0.442999	0.407668
0.147157	0.450581	0.414682
0.150502	0.458063	0.421603
0.153846	0.465447	0.428431
0.157191	0.472735	0.435168
0.160535	0.479926	0.441815
0.163880	0.487024	0.448373
0.167224	0.494028	0.454843
0.170569	0.500940	0.461227
0.173913	0.507762	0.467524
0.177258	0.514495	0.473738
0.180602	0.521139	0.479868
0.183946	0.527697	0.485915
0.187291	0.534169	0.491881
0.190635	0.540556	0.497767
0.193980	0.546859	0.503574
0.197324	0.553080	0.509302
0.200669	0.559220	0.514953
0.204013	0.565280	0.520528
0.207358	0.571260	0.526027
0.210702	0.577162	0.531452
0.214047	0.582988	0.536804
0.217391	0.588737	0.542084
0.220736	0.594411	0.547292
0.224080	0.600011	0.552430
0.227425	0.605538	0.557498
0.230769	0.610992	0.562497
0.234114	0.616376	0.567429
0.237458	0.621689	0.572294
0.240803	0.626933	0.577093
0.244147	0.632109	0.581827
0.247492	0.637217	0.586497
0.250836	0.642259	0.591104
0.254181	0.647234	0.595648
0.257525	0.652145	0.600131
0.260870	0.656992	0.604553
0.264214	0.661776	0.608915
0.267559	0.666497	0.613218
0.270903	0.671157	0.617462
0.274247	0.675756	0.621649
0.277592	0.680295	0.625780
0.280936	0.684775	0.629854
0.284281	0.689197	0.633873
0.287625	0.693560	0.637838
0.290970	0.697867	0.641749
0.294314	0.702118	0.645607
0.297659	0.706314	0.649413
0.301003	0.710454	0.653168
0.304348	0.714541	0.656871
0.307692	0.718574	0.660525
0.311037	0.722555	0.664129
0.314381	0.726484	0.667685
0.317726	0.730362	0.671193
0.321070	0.734189	0.674653
0.324415	0.737966	0.678067
0.327759	0.741693	0.681434
0.331104	0.745373	0.684757
0.334448	0.749004	0.688034
0.337793	0.752587	0.691268
0.341137	0.756124	0.694458
0.344482	0.759615	0.697605
0.347826	0.763060	0.700710
0.351171	0.766460	0.703773
0.354515	0.769816	0.706795
0.357860	0.773127	0.709777
0.361204	0.776396	0.712719
0.364548	0.779621	0.715621
0.367893	0.782805	0.718485
0.371237	0.785946	0.721311
0.374582	0.789047	0.724098
0.377926	0.792107	0.726849
0.381271	0.795127	0.729563
0.384615	0.798107	0.732241
0.387960	0.801049	0.734883
0.391304	0.803951	0.737490
0.394649	0.806816	0.740063
0.397993	0.809643	0.742601
0.401338	0.812433	0.745106
0.404682	0.815186	0.747578
0.408027	0.817903	0.750017
0.411371	0.820585	0.752424
0.414716	0.823231	0.754799
0.418060	0.825842	0.757143
0.421405	0.828419	0.759456
0.424749	0.830962	0.761739
0.428094	0.833471	0.763992
