cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.040629	0.000000
0.006689	0.079561	0.000000
0.010033	0.116825	0.000000
0.013378	0.152453	0.000000
0.016722	0.186483	0.000000
0.020067	0.218956	0.000000
0.023411	0.249914	0.000000
0.026756	0.279403	0.000000
0.030100	0.307472	0.000000
0.033445	0.334170	0.000000
0.036789	0.359547	0.000000
0.040134	0.383654	0.000000
0.043478	0.406544	0.000000
0.046823	0.428266	0.000000
0.050167	0.448874	0.000000
0.053512	0.468417	0.000000
0.056856	0.486944	0.000000
0.060201	0.504505	0.000000
0.063545	0.521146	0.000000
0.066890	0.536915	0.000000
0.070234	0.551854	0.000000
0.073579	0.566009	0.000000
0.076923	0.579419	0.000000
0.080268	0.592125	0.000000
0.083612	0.604164	0.000000
0.086957	0.615574	0.000000
0.090301	0.626388	0.000000
0.093645	0.636639	0.000000
0.096990	0.646360	0.000000
0.100334	0.655580	0.000000
0.103679	0.664327	0.000000
0.107023	0.672627	0.000000
0.110368	0.680506	0.000000
0.113712	0.687989	0.000000
0.117057	0.695096	0.000000
0.120401	0.701850	0.000000
0.123746	0.708271	0.000000
0.127090	0.714376	0.000000
0.130435	0.720185	0.000000
0.133779	0.725714	0.000000
0.137124	0.730979	0.000000
0.140468	0.735993	0.000000
0.143813	0.740772	0.000000
0.147157	0.745328	0.000000
0.150502	0.749674	0.000000
0.153846	0.753821	0.000000
0.157191	0.757779	0.000000
0.160535	0.761560	0.000000
0.163880	0.765173	0.000000
0.167224	0.768626	0.000000
0.170569	0.771929	0.000000
0.173913	0.775089	0.000000
0.177258	0.778113	0.000000
0.180602	0.781009	0.000000
0.183946	0.783784	0.000000
0.187291	0.786443	0.000000
0.190635	0.788993	0.000000
0.193980	0.791439	0.000000
0.197324	0.793786	0.000000
0.200669	0.796040	0.000000
0.204013	0.798204	0.000000
0.207358	0.800284	0.000000
0.210702	0.802283	0.000000
0.214047	0.804205	0.000000
0.217391	0.806054	0.000000
0.220736	0.807834	0.000000
0.224080	0.809547	0.000000
0.227425	0.811197	0.000000
0.230769	0.812787	0.000000
0.234114	0.814319	0.000000
0.237458	0.815796	0.000000
0.240803	0.817221	0.000000
0.244147	0.818596	0.000000
0.247492	0.819923	0.000000
0.250836	0.821204	0.000000
0.254181	0.822442	0.000000
0.257525	0.823637	0.000000
0.260870	0.824793	0.000000
0.264214	0.825910	0.000000
0.267559	0.826991	0.000000
0.270903	0.828036	0.000000
0.274247	0.829048	0.000000
0.277592	0.830027	0.000000
0.280936	0.830975	0.000000
0.284281	0.831894	0.000000
0.287625	0.832784	0.000000
0.290970	0.833646	0.000000
0.294314	0.834482	0.000000
0.297659	0.835293	0.000000
0.301003	0.836080	0.000000
0.304348	0.836843	0.000000
0.307692	0.837583	0.000000
0.311037	0.838302	0.000000
0.314381	0.839000	0.000000
0.317726	0.839678	0.000000
0.321070	0.840337	0.000000
0.324415	0.840977	0.000000
0.327759	0.841600	0.000000
0.331104	0.842205	0.000000
0.334448	0.842793	0.000000
0.337793	0.843365	0.000000
0.341137	0.843922	0.000000
0.344482	0.844464	0.000000
0.347826	0.844991	0.000000
0.351171	0.845504	0.000000
0.354515	0.846004	0.000000
0.357860	0.846491	0.000000
0.361204	0.846966	0.000000
0.364548	0.847428	0.000000
0.367893	0.847879	0.000000
0.371237	0.848318	0.000000
0.374582	0.848746	0.000000
0.377926	0.849163	0.000000
0.381271	0.849571	0.000000
0.384615	0.849968	0.000000
0.387960	0.850356	0.000000
0.391304	0.850734	0.000000
0.394649	0.851103	0.000000
0.397993	0.851464	0.000000
0.401338	0.851816	0.000000
0.404682	0.852160	0.000000
0.408027	0.852496	0.000000
0.411371	0.852824	0.000000
0.414716	0.853145	0.000000
0.418060	0.853458	0.000000
0.421405	0.853764	0.000000
0.424749	0.854064	0.000000
0.428094	0.854356	0.000000
0.431438	0.854643	0.000000
0.434783	0.854923	0.000000
0.438127	0.855197	0.000000
0.441472	0.855465	0.000000
0.444816	0.855727	0.000000
0.448161	0.855984	0.000000
0.451505	0.856235	0.000000
0.454849	0.856481	0.000000
0.458194	0.856722	0.000000
0.461538	0.856958	0.000000
0.464883	0.857189	0.000000
0.468227	0.857415	0.000000
0.471572	0.857636	0.000000
0.474916	0.857854	0.000000
0.478261	0.858066	0.000000
0.481605	0.858275	0.000000
0.484950	0.858479	0.000000
0.488294	0.858680	0.000000
0.491639	0.858876	0.000000
0.494983	0.859069	0.000000
0.498328	0.859257	0.000000
0.501672	0.859443	0.000000
0.505017	0.859624	0.000000
0.508361	0.859803	0.000000
0.511706	0.859978	0.000000
0.515050	0.860149	0.000000
0.518395	0.860318	0.000000
0.521739	0.860483	0.000000
0.525084	0.860645	0.000000
0.528428	0.860804	0.000000
0.531773	0.860961	0.000000
0.535117	0.861114	0.000000
0.538462	0.861265	0.000000
0.541806	0.861413	0.000000
0.545151	0.861558	0.000000
0.548495	0.861701	0.000000
0.551839	0.861842	0.000000
0.555184	0.861979	0.000000
0.558528	0.862115	0.000000
0.561873	0.862248	0.000000
0.565217	0.862379	0.000000
0.568562	0.862507	0.000000
0.571906	0.862634	0.000000
0.575251	0.862758	0.000000
0.578595	0.862880	0.000000
0.581940	0.863000	0.000000
0.585284	0.863119	0.000000
0.588629	0.863235	0.000000
0.591973	0.863349	0.000000
0.595318	0.863461	0.767242
0.598662	0.863572	0.884615
0.602007	0.863681	0.938143
0.605351	0.863788	0.966900
0.608696	0.863893	0.983256
0.612040	0.863997	0.992553
0.615385	0.864099	0.997510
0.618729	0.864199	0.999657
0.622074	0.864298	0.999920
0.625418	0.864395	0.998891
0.628763	0.864491	0.996961
0.632107	0.864585	0.994398
0.635452	0.864678	0.991390
0.638796	0.864769	0.988072
0.642140	0.864859	0.984541
0.645485	0.864948	0.980870
0.648829	0.865035	0.977111
0.652174	0.865121	0.973306
0.655518	0.865206	0.969484
0.658863	0.865289	0.965669
0.662207	0.865371	0.961877
0.665552	0.865452	0.958121
0.668896	0.865532	0.954412
0.672241	0.865611	0.950757
0.675585	0.865688	0.947160
0.678930	0.865764	0.943627
0.682274	0.865840	0.940158
0.685619	0.865914	0.936757
0.688963	0.865987	0.933424
0.692308	0.866059	0.930159
0.695652	0.866130	0.926962
0.698997	0.866200	0.923833
0.702341	0.866269	0.920771
0.705686	0.866337	0.917775
0.709030	0.866405	0.914844
0.712375	0.866471	0.911977
0.715719	0.866536	0.909173
0.719064	0.866601	0.906429
0.722408	0.866664	0.903746
0.725753	0.866727	0.901120
0.729097	0.866789	0.898552
0.732441	0.866850	0.896039
0.735786	0.866910	0.893580
0.739130	0.866969	0.891173
0.742475	0.867028	0.888818
0.745819	0.867086	0.886513
0.749164	0.867143	0.884256
0.752508	0.867199	0.882046
0.755853	0.867255	0.879882
0.759197	0.867310	0.877763
0.762542	0.867364	0.875687
0.765886	0.867417	0.873653
0.769231	0.867470	0.871661
0.772575	0.867522	0.869708
0.775920	0.867574	0.867795
0.779264	0.867625	0.865919
0.782609	0.867675	0.864080
0.785953	0.867724	0.862276
0.789298	0.867773	0.860508
0.792642	0.867821	0.858773
0.795987	0.867869	0.857072
0.799331	0.867916	0.855402
0.802676	0.867963	0.853764
0.806020	0.868009	0.852157
0.809365	0.868054	0.850579
0.812709	0.868099	0.849030
0.816054	0.868143	0.847509
0.819398	0.868187	0.846016
0.822742	0.868230	0.844550
0.826087	0.868273	0.843109
0.829431	0.868315	0.841694
0.832776	0.868357	0.840304
0.836120	0.868398	0.838939
0.839465	0.868439	0.837596
0.842809	0.868479	0.836277
0.846154	0.868519	0.834981
0.849498	0.868558	0.833706
0.852843	0.868597	0.832453
0.856187	0.868636	0.831221
0.859532	0.868674	0.830009
0.862876	0.868711	0.828817
0.866221	0.868748	0.827645
0.869565	0.868785	0.826491
0.872910	0.868821	0.825357
0.876254	0.868857	0.824240
0.879599	0.868893	0.823141
0.882943	0.868928	0.822060
0.886288	0.868962	0.820996
0.889632	0.868997	0.819948
0.892977	0.869031	0.818916
0.896321	0.869064	0.817901
0.899666	0.869097	0.816901
0.903010	0.869130	0.815916
0.906355	0.869163	0.814946
0.909699	0.869195	0.813991
0.913043	0.869226	0.813050
0.916388	0.869258	0.812123
0.919732	0.869289	0.811209
0.923077	0.869320	0.810309
0.926421	0.869350	0.809422
0.929766	0.869380	0.808548
0.933110	0.869410	0.807687
0.936455	0.869439	0.806838
0.939799	0.869468	0.806000
