cos_theta	alpha_TA	alpha_LA
0.000000	0.000000	0.000000
0.003344	0.015899	0.016312
0.006689	0.031545	0.032358
0.010033	0.046942	0.048141
0.013378	0.062095	0.063666
0.016722	0.077006	0.078936
0.020067	0.091679	0.093956
0.023411	0.106119	0.108729
0.026756	0.120329	0.123260
0.030100	0.134312	0.137551
0.033445	0.148073	0.151607
0.036789	0.161613	0.165431
0.040134	0.174938	0.179026
0.043478	0.188051	0.192397
0.046823	0.200954	0.205548
0.050167	0.213651	0.218480
0.053512	0.226145	0.231198
0.056856	0.238440	0.243705
0.060201	0.250538	0.256005
0.063545	0.262444	0.268100
0.066890	0.274158	0.279994
0.070234	0.285686	0.291691
0.073579	0.297029	0.303192
0.076923	0.308191	0.314502
0.080268	0.319174	0.325624
0.083612	0.329982	0.336560
0.086957	0.340617	0.347313
0.090301	0.351081	0.357887
0.093645	0.361378	0.368284
0.096990	0.371510	0.378507
0.100334	0.381480	0.388558
0.103679	0.391291	0.398442
0.107023	0.400944	0.408160
0.110368	0.410442	0.417715
0.113712	0.419789	0.427110
0.117057	0.428985	0.436347
0.120401	0.438034	0.445429
0.123746	0.446939	0.454358
0.127090	0.455700	0.463138
0.130435	0.464321	0.471770
0.133779	0.472804	0.480256
0.137124	0.481151	0.488600
0.140468	0.489364	0.496804
0.143813	0.497446	0.504869
0.147157	0.505397	0.512799
0.150502	0.513222	0.520595
0.153846	0.520920	0.528260
0.157191	0.528496	0.535796
0.160535	0.535950	0.543204
0.163880	0.543284	0.550488
0.167224	0.550501	0.557649
0.170569	0.557602	0.564689
0.173913	0.564589	0.571610
0.177258	0.571464	0.578415
0.180602	0.578229	0.585105
0.183946	0.584885	0.591682
0.187291	0.591434	0.598148
0.190635	0.597879	0.604505
0.193980	0.604220	0.610755
0.197324	0.610459	0.616900
0.200669	0.616599	0.622941
0.204013	0.622640	0.628879
0.207358	0.628584	0.634718
0.210702	0.634433	0.640458
0.214047	0.640188	0.646102
0.217391	0.645851	0.651650
0.220736	0.651423	0.657105
0.224080	0.656905	0.662468
0.227425	0.662300	0.667740
0.230769	0.667609	0.672924
0.234114	0.672832	0.678020
0.237458	0.677972	0.683031
0.240803	0.683029	0.687957
0.244147	0.688006	0.692800
0.247492	0.692903	0.697562
0.250836	0.697721	0.702244
0.254181	0.702462	0.706847
0.257525	0.707128	0.711372
0.260870	0.711718	0.715822
0.264214	0.716235	0.720197
0.267559	0.720680	0.724498
0.270903	0.725054	0.728727
0.274247	0.729358	0.732886
0.277592	0.733594	0.736974
0.280936	0.737761	0.740994
0.284281	0.741862	0.744947
0.287625	0.745897	0.748834
0.290970	0.749868	0.752655
0.294314	0.753776	0.756413
0.297659	0.757621	0.760108
0.301003	0.761405	0.763741
0.304348	0.765128	0.767313
0.307692	0.768792	0.770826
0.311037	0.772397	0.774281
0.314381	0.775946	0.777678
0.317726	0.779437	0.781018
0.321070	0.782873	0.784303
0.324415	0.786254	0.787533
0.327759	0.789581	0.790709
0.331104	0.792856	0.793833
0.334448	0.796078	0.796905
0.337793	0.799249	0.799926
0.341137	0.802369	0.802897
0.344482	0.805440	0.805819
0.347826	0.808462	0.808692
0.351171	0.811436	0.811518
0.354515	0.814363	0.814298
0.357860	0.817243	0.817031
0.361204	0.820078	0.819720
0.364548	0.822868	0.822364
0.367893	0.825613	0.824965
0.371237	0.828315	0.827523
0.374582	0.830974	0.830039
0.377926	0.833591	0.832514
0.381271	0.836166	0.834948
0.384615	0.838701	0.837343
0.387960	0.841195	0.839698
0.391304	0.843650	0.842015
0.394649	0.846066	0.844294
0.397993	0.848445	0.846536
0.401338	0.850785	0.848741
0.404682	0.853088	0.850910
0.408027	0.855356	0.853045
0.411371	0.857587	0.855144
0.414716	0.859783	0.857210
0.418060	0.861945	0.859242
0.421405	0.864072	0.861241
0.424749	0.866166	0.863208
0.428094	0.868227	0.865143
0.431438	0.870255	0.867047
0.434783	0.872252	0.868920
0.438127	0.874217	0.870763
0.441472	0.876152	0.872577
0.444816	0.878056	0.874361
0.448161	0.879930	0.876117
0.451505	0.881774	0.877845
0.454849	0.883590	0.879545
0.458194	0.885377	0.881218
0.461538	0.887136	0.882864
0.464883	0.888868	0.884485
0.468227	0.890572	0.886079
0.471572	0.892250	0.887648
0.474916	0.893902	0.889192
0.478261	0.895527	0.890712
0.481605	0.897128	0.892207
0.484950	0.898703	0.893679
0.488294	0.900254	0.895128
0.491639	0.901780	0.896554
0.494983	0.903283	0.897958
0.498328	0.904762	0.899339
0.501672	0.906219	0.900699
0.505017	0.907652	0.902038
0.508361	0.909063	0.903355
0.511706	0.910453	0.904652
0.515050	0.911820	0.905929
0.518395	0.913167	0.907186
0.521739	0.914492	0.908423
0.525084	0.915797	0.909641
0.528428	0.917082	0.910841
0.531773	0.918347	0.912021
0.535117	0.919592	0.913184
0.538462	0.920818	0.914328
0.541806	0.922025	0.915455
0.545151	0.923213	0.916565
0.548495	0.924383	0.917657
0.551839	0.925534	0.918733
0.555184	0.926668	0.919792
0.558528	0.927785	0.920835
0.561873	0.928884	0.921862
0.565217	0.929966	0.922874
0.568562	0.931032	0.923870
0.571906	0.932081	0.924851
0.575251	0.933114	0.925817
0.578595	0.934131	0.926768
0.581940	0.935133	0.927705
0.585284	0.936119	0.928628
0.588629	0.937090	0.929537
0.591973	0.938046	0.930432
0.595318	0.938987	0.931314
0.598662	0.939914	0.932182
0.602007	0.940827	0.933038
0.605351	0.941725	0.933881
0.608696	0.942610	0.934711
0.612040	0.943482	0.935529
0.615385	0.944340	0.936335
0.618729	0.945185	0.937128
0.622074	0.946017	0.937910
0.625418	0.946836	0.938681
0.628763	0.947643	0.939439
0.632107	0.948437	0.940187
0.635452	0.949220	0.940924
0.638796	0.949990	0.941650
0.642140	0.950749	0.942365
0.645485	0.951496	0.943070
0.648829	0.952232	0.943765
0.652174	0.952956	0.944449
0.655518	0.953670	0.945123
0.658863	0.954373	0.945788
0.662207	0.955065	0.946443
0.665552	0.955746	0.947089
0.668896	0.956418	0.947725
0.672241	0.957079	0.948352
0.675585	0.957730	0.948969
0.678930	0.958371	0.949579
0.682274	0.959003	0.950179
0.685619	0.959625	0.950770
0.688963	0.960237	0.951354
0.692308	0.960840	0.951929
0.695652	0.961435	0.952495
0.698997	0.962020	0.953054
0.702341	0.962596	0.953604
0.705686	0.963164	0.954147
0.709030	0.963723	0.954682
0.712375	0.964274	0.955210
0.715719	0.964816	0.955730
0.719064	0.965350	0.956243
0.722408	0.965877	0.956749
0.725753	0.966395	0.957247
0.729097	0.966906	0.957739
0.732441	0.967408	0.958224
0.735786	0.967904	0.958702
0.739130	0.968392	0.959173
0.742475	0.968872	0.959638
0.745819	0.969346	0.960096
0.749164	0.969812	0.960548
0.752508	0.970271	0.960994
0.755853	0.970724	0.961433
0.759197	0.971169	0.961867
