#        distance           band1           band2           band3
0.00000000 -0.00000037 -0.00000036 -0.00000020
0.00226120 0.09787703 0.09787703 0.19049438
0.00452240 0.19563925 0.19563925 0.38020198
0.00678370 0.29317254 0.29317254 0.56833965
0.00904490 0.39036424 0.39036424 0.75413128
0.01130610 0.48710377 0.48710377 0.93681057
0.01356730 0.58328327 0.58328327 1.11562341
0.01582860 0.67879823 0.67879823 1.28982996
0.01808980 0.77354791 0.77354791 1.45870742
0.02035100 0.86743584 0.86743584 1.62155488
0.02261220 0.96037008 0.96037008 1.77770268
0.02487340 1.05226344 1.05226344 1.92652950
0.02713470 1.14303360 1.14303360 2.06749041
0.02939590 1.23260308 1.23260308 2.20015799
0.03165710 1.32089914 1.32089914 2.32427427
0.03391830 1.40785355 1.40785355 2.43980392
0.03617960 1.49340239 1.49340239 2.54697211
0.03844080 1.57748573 1.57748573 2.64626809
0.04070200 1.66004730 1.66004730 2.73840459
0.04296320 1.74103423 1.74103423 2.82423958
